Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient_1,Gradient_2,Gradient_3,Gradient_4,Gradient_5
GoNoGo_Task,subject_5,-11,7.0,1.0,1.2999999999999976,1.0,2.0,1.0,6.300000000000013,9.200000000000003,6.099999999999998,1.0,1.0,1.0,10.0,4.20000000000001,2.0,1.0,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
GoNoGo_Task,subject_5,-12,8.899999999999988,6.799999999999995,6.0,1.6999999999999975,4.0,1.0,2.9999999999999982,8.799999999999986,8.100000000000007,1.0,5.0,1.5999999999999974,3.0,6.700000000000008,9.0,1.0,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
GoNoGo_Task,subject_5,-15,8.0,9.0,4.0,10.0,3.0,1.3000000000000154,6.0,9.999999999999986,3.0,1.0,3.200000000000009,2.0,6.0,5.300000000000001,3.0,1.0,-0.169817561,0.05201047,0.031002936,-0.147224689,-0.111588999
Memory_Task,subject_5,6,7.0,7.899999999999993,7.399999999999995,4.900000000000004,1.1999999999999984,6.100000000000007,7.200000000000003,8.400000000000006,6.6000000000000085,1.0,5.999999999999998,7.299999999999995,3.0,4.100000000000001,8.199999999999996,9.0,-0.016245814,0.004836931,-0.166685484,0.151508409,0.06937091
Memory_Task,subject_5,8,10.0,10.0,3.0,5.5,8.29999999999999,7.999999999999993,10.0,5.500000000000012,3.6000000000000005,1.0,3.300000000000002,7.399999999999994,6.899999999999993,10.0,9.499999999999991,10.0,-0.016245814,0.004836931,-0.166685484,0.151508409,0.06937091
Memory_Task,subject_5,-7,10.0,6.399999999999995,8.0,6.299999999999996,4.0,5.0,7.399999999999999,2.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,8.0,-0.016245814,0.004836931,-0.166685484,0.151508409,0.06937091
Reading_Task,subject_5,11,5.000000000000014,10.0,8.0,7.0,3.0,6.0,7.400000000000009,4.3000000000000025,9.0,2.0,3.0,2.7000000000000086,2.0,4.000000000000002,1.1000000000000116,5.300000000000006,-0.102151252,-0.02267263,-0.26553856,0.039239296,0.034607611
Reading_Task,subject_5,11,8.0,5.6000000000000085,1.6,10.0,3.0,5.800000000000011,6.800000000000008,9.0,2.0,1.0,3.0,2.9000000000000017,9.0,7.0,1.0,6.000000000000007,-0.102151252,-0.02267263,-0.26553856,0.039239296,0.034607611
Reading_Task,subject_5,-8,6.999999999999993,5.800000000000008,3.6000000000000014,4.0,2.0,6.0,6.100000000000014,9.0,10.0,1.0,3.0,4.900000000000004,2.2999999999999976,3.0,3.9000000000000026,5.0,-0.102151252,-0.02267263,-0.26553856,0.039239296,0.034607611
Zero-Back_Task,subject_5,-13,7.500000000000009,7.0,6.0,7.399999999999992,4.10000000000001,4.100000000000007,2.0,9.499999999999986,7.0,1.0,1.6000000000000152,2.0,7.999999999999993,5.0,10.0,5.0,0.002753698,0.071499126,0.236535868,-0.048768775,0.047644385
